route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;ArRPostalRegion;stop_Geopoint;ArRXEpsg2154;ArRYEpsg2154;shortName;bookingRules;mode;Pointgeo;Nom_commune;Code_insee;Extensions;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns
IDFM:C00473;95-19 (future 1420);IDFM:5059;La Source;Francilité Val Parisis;Franconville;95252;48.98651792414415, 2.220462935062923;642946;6876569;1420;;Bus;48.986517924157525, 2.2204629350629235;Franconville;95252;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00473:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C00484;38-01 (future 1440);IDFM:13267;Place Charles de Gaulle;Francilité Val Parisis;Eaubonne;95203;48.99527705550821, 2.2750359035470056;646949;6877505;1440;;Bus;48.99527705552156, 2.275035903547006;Eaubonne;95203;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00484:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C00484;38-01 (future 1440);IDFM:13251;Grille Dorée;Francilité Val Parisis;Eaubonne;95203;48.99893738079414, 2.278087182649662;647176;6877910;1440;;Bus;48.99893738080748, 2.2780871826496623;Eaubonne;95203;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00484:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C00484;38-01 (future 1440);IDFM:13266;Place Charles de Gaulle;Francilité Val Parisis;Eaubonne;95203;48.99531920609787, 2.2745706777611745;646915;6877510;1440;;Bus;48.995319206111226, 2.2745706777611745;Eaubonne;95203;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00484:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C00487;38-04 (future 1441);IDFM:23087;Paul Nicolas;Francilité Val Parisis;Eaubonne;95203;48.99525902548009, 2.284014579312166;647606;6877497;1441;;Bus;48.99525902549345, 2.2840145793121662;Eaubonne;95203;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00487:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C01098;62;IDFM:23597;Alésia - Didot;Keolis Grand Paris Seine Orly;Paris 14e;75114;48.830617977763566, 2.3187250292966435;649988;6859167;62;;Bus;48.83061797777729, 2.3187250292966435;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01098:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01099;63;IDFM:22643;Saint-Germain - Odéon;RATP;Paris 6e;75106;48.851612262978286, 2.3401327622744406;651579;6861488;63;;Bus;48.851612262991964, 2.3401327622744406;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01099:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01099;63;IDFM:25322;Porte de la Muette - Octave Feuillet;RATP;Paris 16e;75116;48.86295717839949, 2.269611978559542;646416;6862795;63;;Bus;48.86295717841315, 2.269611978559542;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01099:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01100;64;IDFM:18204;Cours de Vincennes;RATP;Paris 20e;75120;48.84798345771764, 2.4062425527993603;656427;6861046;64;;Bus;48.84798345773133, 2.4062425527993603;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01100:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;false;true
IDFM:C01102;66;IDFM:480944;Opéra;RATP Cap Boucle Nord de Seine;Paris 9e;75109;48.871392071548364, 2.332588422182871;651044;6863692;66;;Bus;48.87139207156199, 2.332588422182872;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01102:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
