commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
café tabac;520724;Le Terminus;;224 Avenue du 8 mai 1945;93440;Dugny;;;;;;;;48.953812, 2.443199
tabac;520613;Tabac Le Val;dimanche;10 Avenue du Val de Fontenay;94120;Fontenay-sous-Bois;;;;;;;;48.853548, 2.488092
tabac presse;530006;Librairie Peupleraie;dimanche;44 Boulevard Pasteur;94260;Fresnes;;;;;;;;48.756814, 2.315111
tabac presse;530624;La Cerisaie;jeudi;5 Allée des Fleurs;94260;Fresnes;;;;;;;;48.754482, 2.327438
tabac loto;530473;Le Vieux Moulin;;75 Rue Maurice Thorez;94200;Ivry-sur-Seine;;;;;;;;48.810678, 2.399001
café tabac;530612;Tabac de la Gare;;81 Boulevard de Brandebourg;94200;Ivry-sur-Seine;;;;;;;;48.814475, 2.392038
café tabac;520600;Le Vaillant;;130 Avenue Paul Vaillant-Couturier;93120;La Courneuve;;;;;;;;48.924578, 2.414972
café tabac;520685;L'Imprévu;;1 Avenue Paul Vaillant Couturier;93120;La Courneuve;;;;;;;;48.91822, 2.407618
café tabac;520721;Le Royal Club;;222 Avenue du président Wilson;93210;La Plaine-Saint-Denis;;;;;;;;48.914873, 2.358216
café tabac;520338;Les Copains;;213 Avenue Paul Vaillant-Couturier;93150;Le Blanc-Mesnil;;;;;;;;48.923985, 2.462867
tabac loto;540335;Bar Tabac l'Aviatic;dimanche;30 Avenue de la Division Leclerc;93350;Le Bourget;;;;;;;;48.933023, 2.424039
tabac presse;530574;Tabac La Plume VeRoute;dimanche;25 Avenue Charles Gide;94270;Le Kremlin-Bicêtre;;;;;;;;48.806977, 2.353682
café tabac;520436;Tabac de La Gare;mercredi;6 Place Robert Belvaux;94170;Le Perreux-sur-Marne;;;;;;;;48.837892, 2.49503
tabac presse;520556;Le Jean Bart;;137 Avenue du Général de Gaulle;94170;Le Perreux-sur-Marne;;;;;;;;48.842838, 2.503792
tabac;510401;Tabac du Marché;;10 Avenue de la Libération;92350;Le Plessis-Robinson;;;;;;;;48.776879, 2.256181
café tabac;520540;Civette de Pavillons;dimanche;116 Avenue Jean Jaurès;93320;Les Pavillons-sous-Bois;;;;;;;;48.904287, 2.50449
tabac presse;510595;Le Presse Book;lundi;12 Rue Trébois;92300;Levallois-Perret;;;;;;;;48.890634, 2.290411
tabac loto;510697;Tabac de la Gare;samedi;117 Rue Victor Hugo;92300;Levallois-Perret;;;;;;;;48.898474, 2.294073
tabac loto;530550;Tabac Presse;;81 Avenue du Général de Gaulle;94240;L'Haÿ-les-Roses;;;;;;;;48.783568, 2.345596
café tabac;520625;Le Fontenoy;;17 Place de la Libération;93190;Livry-Gargan;;;;;;;;48.922646, 2.543871
tabac presse;530261;Tabac des Arcades;dimanche;163 Rue du Présidentt François Mitterrand;91160;Longjumeau;;;;;;;;48.690083, 2.288936
café tabac;530585;Tabac Le Monaco;;54 Rue du Présidentt François Mitterrand;91160;Longjumeau;;;;;;;;48.697295, 2.295035
tabac;530271;Le Tom Tip;;127 Rue Paul Vaillant-Couturier;92240;Malakoff;;;;;;;;48.816495, 2.292588
café tabac;510431;Café de la Gare;dimanche;19 Rue Banes;92190;Meudon;;;;;;;;48.808169, 2.240946
café tabac;540459;La Camargue;lundi;18 Allée  Marcel Simon;92360;Meudon-La-Forêt;;;;;;;;48.787286, 2.235167
tabac loto;520705;Le Cyrano;;104 avenue de la Gare;95360;Montmagny;;;;;;;;48.974987, 2.343433
tabac loto;520697;Les Copains;;294 Rue de Rosny;93100;Montreuil;;;;;;;;48.870766, 2.468544
presse tabac;520720;Tabac de la Paix;dimanche;148 Rue des Ruffins;93100;Montreuil;;;;;;;;48.861075, 2.474454
café tabac;540008;Le Saint-Laurent;;64 Boulevard Rouget de L'Isle;93100;Montreuil;;;;;;;;48.858472, 2.436994
librairie;530117;Librairie du Centre;dimanche;79 Avenue de la République;92120;Montrouge;;;;;;;;48.815422, 2.3178
librairie;530255;Le Petit Paris;;39 Avenue de la République;92120;Montrouge;;;;;;;;48.819485, 2.320337
café tabac;530508;Le Gaulois;dimanche;101 Avenue de la République;92120;Montrouge;;;;;;;;48.814031, 2.316925
tabac presse;530611;A L'Ecritoire;;125 Avenue Jean Jaures;92120;Montrouge;;;;;;;;48.813823, 2.307335
café tabac;530440;Le Marigny;dimanche;7 Place Lucien Boilleau;91420;Morangis;;;;;;;;48.706533, 2.335001
café tabac;530553;Le Longchamps;;88 Avenue Aristide Briand;91420;Morangis;;;;;;;;48.700557, 2.324935
tabac loto;510602;Tabac Loto Presse;dimanche;43 Rue des Aubépines;92000;Nanterre;;;;;;;;48.910796, 2.221269
tabac;510645;la Civette de L'Ile;dimanche;27 Boulevard du Général Leclerc;92000;Nanterre;;;;;;;;48.89748, 2.194316
tabac loto;510678;L‘Européen;dimanche;87 Rue Maurice Thorez;92000;Nanterre;;;;;;;;48.894941, 2.196003
café tabac;520033;Le Madrigal;dimanche;64 Avenue Daniel Perdrige;93360;Neuilly-Plaisance;;;;;;;;48.871282, 2.51549
café tabac;510473;La Royale;dimanche;91 Rue Perronet;92200;Neuilly-sur-Seine;;;;;;;;48.88697, 2.270318
café tabac;510547;Tabac BINEAU;dimanche;204 Boulevard Bineau;92200;Neuilly-sur-Seine;;;;;;;;48.894536, 2.266864
café tabac;520564;Le Magnanou;dimanche;33 Avenue Gallieni;93130;Noisy-le-Sec;;;;;;;;48.899684, 2.464469
tabac presse;520698;Le Brazza;;7 Boulevard de la République;93130;Noisy-le-Sec;;;;;;;;48.895878, 2.461245
café tabac;530406;Le Fer à Cheval;lundi;73 Avenue Adrien Raynal;94310;Orly;;;;;;;;48.744815, 2.407452
tabac;510696;Tabac de la Gare;;41 Boulevard Dubreuil;91400;Orsay;;;;;;;;48.697271, 2.182373
café tabac;520397;Le Paris-Lille;;36 Avenue du Cimetière Parisien;93500;Pantin;;;;;;;;48.909353, 2.398633
tabac loto;530340;Le Corona;;30 Q. du Louvre;75001;Paris;;;;;;;;48.85905, 2.340331
tabac loto;530494;Le Tabac du Chatelet;;8 Rue Saint Denis;75001;Paris;;;;;;;;48.858423, 2.347554
tabac loto;520469;Le Tabac de Rivoli;;44 Rue de Rivoli;75004;Paris;;;;;;;;48.856728, 2.355227
café tabac;520574;Le Saint-Louis;dimanche;37 Rue des Deux Ponts;75004;Paris;;;;;;;;48.852335, 2.356874
café tabac;530380;Le Mirbel;;4 Rue de Mirbel;75005;Paris;;;;;;;;48.840813, 2.352403
tabac;530598;Civette St Michel;;137 Boulevard Saint-Michel;75005;Paris;;;;;;;;48.841817, 2.338028
tabac loto;530251;Tabac St-Germain;;64 Rue de Seine;75006;Paris;;;;;;;;48.853236, 2.336888
tabac loto;530597;Tabac Saint-Michel;;22 Rue Saint-André des Arts;75006;Paris;;;;;;;;48.853298, 2.342884
tabac loto;530635;La Civette Brea;;54 Rue Notre-Dame-des-Champs;75006;Paris;;;;;;;;48.843782, 2.330756
café tabac;540349;Les Facultés;dimanche;110 Rue d'Assas;75006;Paris;;;;;;;;48.842462, 2.334595
café tabac;530417;Tabac Bac St-Germain;;66 Rue du Bac;75007;Paris;;;;;;;;48.855687, 2.325188
café tabac;530455;Le Balto;;74 Rue de Sèvres;75007;Paris;;;;;;;;48.847627, 2.318554
tabac loto;530501;La Civette de l'Alma;;15 Avenue Rapp;75007;Paris;;;;;;;;48.860463, 2.301305
café tabac;530504;Tabac Le Lutécia;;14 Avenue de Tourville;75007;Paris;;;;;;;;48.854205, 2.308007
civette;530524;Tabac Cave à Cigare;;20 Avenue Bosquet;75007;Paris;;;;;;;;48.858449, 2.303398
café tabac;540491;Aux Ministères;dimanche;53 Avenue de Ségur;75007;Paris;;;;;;;;48.849802, 2.308432
tabac loto;510497;Le Pot à Tabac;;28 Rue de la Pépinière;75008;Paris;;;;;;;;48.875024, 2.32037
tabac loto;510554;La boite à cigare;dimanche;23 Rue de Rome;75008;Paris;;;;;;;;48.876301, 2.323396
tabac;510559;Tabac de l'Europe;dimanche;11 Rue de Lisbonne;75008;Paris;;;;;;;;48.877682, 2.315799
tabac;510715;Tabac Civette Wagram;dimanche;42 rue de Baeaujon;75008;Paris;;;;;;;;48.875468, 2.296688
café tabac;540473;Le Mont Vallon;dimanche;5 Rue de Vienne;75008;Paris;;;;;;;;48.876629, 2.321341
tabac loto;540517;L' Espace Tabac;dimanche;1 Rue Clapeyron;75008;Paris;;;;;;;;48.880989, 2.3244
café tabac;510245;Tabac de Pigalle;dimanche;34 Rue la Bruyère;75009;Paris;;;;;;;;48.879596, 2.333697
tabac loto;510555;Civette Trinité;;69 Rue Saint Lazare;75009;Paris;;;;;;;;48.87678, 2.332985
café tabac;510679;Tabac l'Ariel;;20 Rue des Martyrs;75009;Paris;;;;;;;;48.877947, 2.339648
tabac loto;520439;Le Lutétia;dimanche;47 Rue de la Grange aux Belles;75010;Paris;;;;;;;;48.875994, 2.368081
tabac loto;520616;Le St Maur;;217 Rue Saint Maur;75010;Paris;;;;;;;;48.873085, 2.370733
tabac loto;520653;La Barrique;dimanche;7 Rue Beaurepaire;75010;Paris;;;;;;;;48.869542, 2.363348
café tabac;520717;Tabac Vallée de Vinales;dimanche;260 Rue du Faubourg Saint Martin;75010;Paris;;;;;;;;48.882897, 2.367586
café tabac;520376;Le Gallia;dimanche;39 Rue Saint-Ambroise;75011;Paris;;;;;;;;48.863036, 2.379096
civette;520665;Tabac 88;;88 bis Avenue Parmentier;75011;Paris;;;;;;;;48.86545, 2.374733
tabac;520701;Tabac Ledru Rollin;;111 avenue Ledru Rollin;75011;Paris;;;;;;;;48.85297, 2.376933
café tabac;520251;Tabac des Colonnes;dimanche;6 Cours de Vincennes;75012;Paris;;;;;;;;48.847657, 2.399712
café tabac;520500;Bar Le Diplomate;samedi;48 Avenue du Général Michel Bizot;75012;Paris;;;;;;;;48.834463, 2.400743
café tabac;520572;Bar Tabac Le Narval;;247 Rue de Charenton;75012;Paris;;;;;;;;48.836539, 2.391967
café tabac;520578;Le Disque Bleu;dimanche;23 Rue de Wattignies;75012;Paris;;;;;;;;48.836467, 2.394098
café tabac;520587;Le Murattis;;2 Rue de Lyon;75012;Paris;;;;;;;;48.846005, 2.372532
café tabac;520612;Le Royal Tabac;;58 Avenue Ledru Rollin;75012;Paris;;;;;;;;48.84842, 2.372516
café tabac;540563;Iris Café;dimanche;2 Boulevard de Picpus;75012;Paris;;;;;;;;48.83953, 2.400496
café tabac;530183;L'Ariel;dimanche;242 Rue de Tolbiac;75013;Paris;;;;;;;;48.826481, 2.342215
café tabac;530186;L'Arche 13;dimanche;82 Boulevard Masséna;75013;Paris;;;;;;;;48.821414, 2.368189
tabac loto;530552;Tabac - Presse;;129 Boulevard Masséna;75013;Paris;;;;;;;;48.819006, 2.361861
café tabac;530620;Le Celtique;dimanche;25 boulevard Auguste Blanqui;75013;Paris;;;;;;;;48.830248, 2.352969
tabac;520631;Tabac des Olympiades;lundi;66 Avenue d'Ivry;75013;Paris;;;;;;;;48.82435, 2.364015
café tabac;530096;Le Petit Naguère;;66 Rue Daguerre;75014;Paris;;;;;;;;48.835241, 2.326333
café tabac;530436;Le Saint-Laurent;;55 Rue du Père Corentin;75014;Paris;;;;;;;;48.82517, 2.329386
café tabac;530453;Le Fontenoy;dimanche;37 Rue Raymond Losserand;75014;Paris;;;;;;;;48.835309, 2.320809
café tabac;530530;La Bouffarde;;177 Boulevard Brune;75014;Paris;;;;;;;;48.823973, 2.32307
tabac loto;530600;La Civette d'Alésia;dimanche;220 Avenue du Maine;75014;Paris;;;;;;;;48.828994, 2.326137
café tabac;510352;Le Lutèce;dimanche;380 Rue de Vaugirard;75015;Paris;;;;;;;;48.833154, 2.288847
café tabac;510365;Le Wilson;;75 Rue Labrouste;75015;Paris;;;;;;;;48.831697, 2.306182
tabac loto;510438;Tabac de New Nesles;dimanche;114 Rue de Sèvres;75015;Paris;;;;;;;;48.845519, 2.312076
tabac loto;510474;Le Balard;;3 Place Balard;75015;Paris;;;;;;;;48.836914, 2.279067
tabac loto;510557;La Gitane;;47 Boulevard de Grenelle;75015;Paris;;;;;;;;48.851723, 2.291893
tabac loto;510376;La Civette d'Auteuil;dimanche;37 Rue Chanez;75016;Paris;;;;;;;;48.845514, 2.25904
civette;510425;Le Lamartine;;178 Avenue Victor Hugo;75016;Paris;;;;;;;;48.866027, 2.276422
tabac;510566;Kennedy Eiffel;dimanche;16 Avenue du Président Kennedy;75016;Paris;;;;;;;;48.857096, 2.286648
café tabac;510639;Tabac des Sablons;dimanche;30 Rue Greuze;75016;Paris;;;;;;;;48.864394, 2.282643
tabac;540424;Tabac de la Muette;dimanche;6 Chaussée de la Muette;75016;Paris;;;;;;;;48.858297, 2.273879
café tabac;510507;Le Carolène;;56 Rue Berzélius;75017;Paris;;;;;;;;48.894351, 2.319844
café tabac;510589;Le Rallye;;29 Rue Brochant;75017;Paris;;;;;;;;48.889431, 2.318442
tabac loto;510609;Cave à Cigares;dimanche;94 Boulevard de Courcelles;75017;Paris;;;;;;;;48.879462, 2.303752
café tabac;510710;Le Celtique;;69/71 Boulevard Berthier;75017;Paris;;;;;;;;48.886383, 2.296204
café tabac;540239;Le Maillot;dimanche;78 Avenue de la Grande Armée;75017;Paris;;;;;;;;48.877417, 2.284727
tabac loto;510422;Le Café du Quartie;;228 Rue de Championnet;75018;Paris;;;;;;;;48.893629, 2.329686
café tabac;510479;Le Rallye;;79 Boulevard Barbes;75018;Paris;;;;;;;;48.89144, 2.349398
café tabac;510480;Le Terminus;dimanche;4 Place Jacques Froment;75018;Paris;;;;;;;;48.890852, 2.331432
café tabac;510648;La Rotonde Hébertine;;3 Place Hébert;75018;Paris;;;;;;;;48.892973, 2.363359
tabac loto;520292;Le Marigny;;76 Avenue de Flandre;75019;Paris;;;;;;;;48.889288, 2.375464
tabac loto;520441;Tabac de l'Ourcq;;98 Rue de l'Ourcq;75019;Paris;;;;;;;;48.893785, 2.373658
café tabac;530639;Le Marigny;;1 Avenue Laumière;75019;Paris;;;;;;;;48.882723, 2.381364
