zdc,latitude,longitude
61680,48.45151946269177,2.7518931790697474
61689,48.4591758566563,2.537235646462644
68598,48.8956460218986,2.8178022596138645
62732,48.69189933151122,2.426540397112698
68596,48.896395402900424,2.6198788696115263
61687,48.45682662290908,2.539244569231709
62730,48.691168984142514,2.269858908312759
68594,48.89661083104905,2.7744120375156736
62729,48.690483455189174,2.015022496929808
68590,48.890875654203214,3.251509195384449
62728,48.69069176039954,2.439304056601413
425683,48.810899948570714,2.2093072472789093
62722,48.69013300764287,2.294253481087046
62724,48.69072626736243,2.351205227265147
62716,48.690187385889764,2.119799721534847
62710,48.68996505067875,2.339524027708237
62715,48.68925953472146,1.8515392041433518
62713,48.689719488250915,2.499784224253042
474331,48.69885237747885,1.88655819434543
62706,48.6893246411139,2.261033498485256
62709,48.68969711488486,2.17841853699324
62703,48.689531729173076,2.210531656536584
62700,48.690202163936945,2.108468476682235
474355,48.881879716477684,2.3401378727107924
61629,48.43172356035421,2.758732480059564
73280,48.88395345943862,2.5322343173842703
73289,48.88749409171163,2.5047372046563527
73287,48.886784760305076,2.53299301094389
73285,48.88579896732234,2.5575820426115654
73283,48.88478742888089,2.5350836662917824
61631,48.432374138379245,2.766901648094722
61633,48.433517087197,2.5792836142007256
61618,48.42585987421674,2.7509937706505094
73290,48.88784341117502,2.55114152839114
73291,48.88945016147321,2.5385196440437827
73298,48.890381115122665,2.5612935336859293
73293,48.88966199126411,2.5589334483870245
424527,48.40398262061467,2.6995844550114927
73296,48.88985298685601,2.557077093667691
61626,48.431504967430996,2.5852750210299744
61609,48.424845888001585,2.761014623092059
422420,48.805778171623686,2.1682704999631928
73262,48.8764887942466,2.564321467909851
73260,48.87643300032047,2.5081350717508424
73261,48.87659187382148,2.560537088983634
73267,48.87803250259015,2.5684262239639453
73265,48.87682504090948,2.525044844405323
61614,48.425008808494944,2.982333410103351
73269,48.87773179126061,2.515676398545459
61611,48.42413291439859,2.9963167030150175
73272,48.8793657425031,2.5471240843183423
73274,48.88146708255016,2.5120145856236995
73276,48.8818955684079,2.521248776896551
73277,48.8825440660516,2.5147930357426147
73278,48.882993183451674,2.5258817473195223
73279,48.88413205122409,2.5105441628216125
61604,48.42335518132119,2.738827219994755
61675,48.44861585655895,2.766275132542945
61677,48.44909443788634,2.749504269055889
61679,48.45110389725619,2.548342224663703
61670,48.44813291550274,2.548956023380604
61672,48.44674294632235,2.752145622043016
61665,48.44591838425469,2.6013408699697185
61664,48.4459590121916,2.612246433395775
61663,48.44587351694195,2.6064668924515533
