stop_id_a,nom_a,stop_id_b,nom_b,duree_moyenne_secondes,nb_observations
IDFM:21916,Voltaire,IDFM:463299,Saint-Ambroise,66,1338
IDFM:463299,Saint-Ambroise,IDFM:463054,Oberkampf,69,1338
IDFM:463054,Oberkampf,IDFM:462963,République,61,1338
IDFM:462963,République,IDFM:463264,"Strasbourg - Saint-Denis",91,1338
IDFM:463264,"Strasbourg - Saint-Denis",IDFM:21933,"Bonne Nouvelle",51,1338
IDFM:21933,"Bonne Nouvelle",IDFM:463049,"Grands Boulevards",51,1338
IDFM:463049,"Grands Boulevards",IDFM:463036,"Richelieu - Drouot",54,1338
IDFM:463036,"Richelieu - Drouot",IDFM:21932,"Chaussée d'Antin - La Fayette",52,1338
IDFM:21932,"Chaussée d'Antin - La Fayette",IDFM:463188,Havre-Caumartin,56,1338
IDFM:463188,Havre-Caumartin,IDFM:463300,Saint-Augustin,59,1338
IDFM:463300,Saint-Augustin,IDFM:21924,Miromesnil,71,1338
IDFM:21924,Miromesnil,IDFM:21912,Saint-Philippe-du-Roule,58,1338
IDFM:21912,Saint-Philippe-du-Roule,IDFM:21931,"Franklin D. Roosevelt",57,1338
IDFM:21931,"Franklin D. Roosevelt",IDFM:21935,"Alma - Marceau",80,1338
IDFM:21935,"Alma - Marceau",IDFM:463190,Iéna,64,1338
IDFM:463190,Iéna,IDFM:463318,Trocadéro,67,1338
IDFM:463318,Trocadéro,IDFM:463055,"Rue de la Pompe",63,1338
IDFM:463055,"Rue de la Pompe",IDFM:21929,"La Muette",100,1338
IDFM:21929,"La Muette",IDFM:463290,Ranelagh,56,1338
IDFM:463290,Ranelagh,IDFM:463038,Jasmin,54,1338
IDFM:463038,Jasmin,IDFM:463238,"Michel-Ange - Auteuil",78,1338
IDFM:463238,"Michel-Ange - Auteuil",IDFM:21923,"Michel-Ange - Molitor",50,1338
IDFM:21923,"Michel-Ange - Molitor",IDFM:462956,Exelmans,43,1338
