lat_coor1;long_coor1;Localisation;Code postal;Ville;Accès;Accès Libre;Complément de localisation;Disponibilité Semaine;Disponibilité Horaires;point_geographique
48.8837844;2.3743464;Ligne 5 Laumiere;75019;PARIS;Intérieur;OUI;Côté recette;7j/7;Heures ouvrables;48.8837844, 2.3743464
48.8674642;2.36411;Métro 11 République;75003;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8674642, 2.36411
48.83992000000006;2.336590000000058;RER B Port Royal;75005;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.83992000000006, 2.336590000000058
48.876480125880086;2.332443358071283;Métro Trinité Etienne d'Orves;75009;PARIS;Intérieur;OUI;À côté de la recette;7j/7;Heures ouvrables;48.876480125880086, 2.332443358071283
48.831087374553405;2.343629093217547;Métro Glacière;75013;PARIS;Intérieur;OUI;À côté de la recette;7j/7;Heures ouvrables;48.831087374553405, 2.343629093217547
48.839190475327136;2.282734918627327;Métro Félix Faure;75015;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.839190475327136, 2.282734918627327
48.89107000000007;2.34958000000006;Métro Marcadet Poissonnier;75018;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.89107000000007, 2.34958000000006
48.864100000000064;2.27771000000007;Métro Rue de la pompe;75016;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.864100000000064, 2.27771000000007
48.847930000000076;2.264180000000067;Métro Michel Ange Auteuil;75016;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.847930000000076, 2.264180000000067
48.843030000000056;2.2599400000000287;Métro Michel Ange Auteuil;75016;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.843030000000056, 2.2599400000000287
48.833240000000046;2.3859300000000303;Métro Cour Saint Emilion;75012;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.833240000000046, 2.3859300000000303
48.87136000000004;2.3254700000000526;Métro Madeleine;75008;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.87136000000004, 2.3254700000000526
48.88770000000005;2.373320000000035;Métro Riquet;75019;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.88770000000005, 2.373320000000035
48.83677000000006;2.3518700000000763;Métro Les Gobelins;75013;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.83677000000006, 2.3518700000000763
48.82624000000004;2.357250000000022;Métro Tolbiac;75013;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.82624000000004, 2.357250000000022
48.82290000000006;2.3582700000000614;Métro Maison Blanche;75013;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.82290000000006, 2.3582700000000614
48.81965000000008;2.3642600000000584;Métro Porte de Choisy;75013;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.81965000000008, 2.3642600000000584
