code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C02730,65090,65138,"Calmette Guérin","Les Perriers",60,78
C02730,64907,479071,Courteline,Tocqueville,60,78
C02730,65049,65088,Flaubert,Jouhaux,60,78
C02730,65004,65015,Suger,Roosevelt,60,78
C02730,64921,64956,"Henri Barbusse / Boulevard de Bezons",Théâtre,120,78
C02730,64962,64989,"Alphonse Allais","Grétry / Joliot Curie",60,78
C02730,64977,65006,"Stalingrad / Masures",Temple,60,6
C02730,64963,64977,Poste,"Stalingrad / Masures",60,78
C02730,64976,65016,"Paul Bert / Clémenceau",Saint-Exupéry,60,44
C02730,65138,483240,"Les Perriers",Trembleaux,60,78
C02730,65016,65049,Saint-Exupéry,Flaubert,60,78
C02730,64907,64926,Courteline,"Jolis Monts",60,78
C02730,65024,65041,Église,Vendanges,60,45
C02730,65015,65024,Roosevelt,Église,60,78
C02730,64956,64976,Théâtre,"Paul Bert / Clémenceau",60,34
C02730,65004,65006,Suger,Temple,60,78
C00306,64734,64741,"La Fontaine","Houilles - Carrières-sur-Seine",180,57
C00306,415615,417678,Pasteur,Pâture,120,58
C00306,65179,65238,"Route de Cormeilles",Passemay,120,77
C00306,65179,65248,"Route de Cormeilles",Robespierre,120,77
C00306,65052,65110,"Bretagne / Place François Rabelais","Val d'Argenteuil",120,154
C00306,64758,64796,"Pont de Bezons","La Grâce de Dieu",120,154
C00306,64865,64879,Brigadières,Marseillaise,180,154
C00306,64734,494786,"La Fontaine",Colombier,120,57
C00306,65254,65289,"Marché des Côteaux","Douce Fève",120,77
C00306,64742,64758,"Louis Rameau","Pont de Bezons",120,58
C00306,64796,64838,"La Grâce de Dieu",Lilas,120,154
C00306,65238,65246,Passemay,Craonne,60,77
C00306,64879,64908,Marseillaise,"Espace Nelson Mandela",60,154
C00306,64703,64719,"84 - 89 Salvador Allende","Marcel Paul",60,115
C00306,64700,494786,"La Rivière",Colombier,60,57
C00306,64719,64742,"Marcel Paul","Louis Rameau",60,57
C00306,64719,64735,"Marcel Paul",Germinal,120,58
C00306,64975,65019,"Moulin Sarrazin","Square Aquitaine",60,154
C00306,65110,479899,"Val d'Argenteuil","Jean Lurçat",60,154
