PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion;ArRGeopoint;ArTGeopoint
;;68856;1418279;52634;1418280-1418279;10984;1418281-1418280;50179822;1643330-1418281;48.94411459439303, 3.1150299728791646;48.94417739755587, 3.115180281737884
;;69251;69251;52523;52523-69251;10732;1419341-52523;50178341;1657555-1419341;49.03079782770716, 3.022330580624422;49.0307798619598, 3.0222348509048147
;;69395;69395;52471;52471-69395;10618;1419288-52471;50178289;1657573-1419288;49.07920474414367, 3.0753624813333986;49.07914188199163, 3.0752392040751833
;;69024;1332800;57621;1332799-1332800;20088;1419063-1332799;50178212;1409821-1419063;48.96768298240136, 2.9488782039740626;48.967691974691206, 2.9488781951316314
;;68673;68673;52617;52617-68673;10945;1411139-52617;50178962;1643897-1411139;48.90696178958325, 3.1581113456576015;48.90696178958325, 3.1581113456576015
;;485301;1415462;485300;1415456-1415462;10623;1415442-1415456;50178190;1657626-1415442;49.0905732866579, 3.069464774462394;49.0905732866579, 3.069464774462394
;;485301;1415462;485300;1415456-1415462;10613;1415450-1415456;50178189;1657627-1415450;49.09066317524267, 3.069505965962735;49.09066317524267, 3.069505965962735
;;480494;1419031;480493;1419032-1419031;10800;1419033-1419032;50178198;1657623-1419033;48.96474912528977, 2.8730289368661666;48.96495603501051, 2.8731103752018257
;;68774;68774;52536;52536-68774;11090;11090-52536;50178171;1657634-11090;48.931213372737865, 2.862314884015184;48.931393443756384, 2.8625054859983816
;;68927;68927;52743;52743-68927;484788;1408110-52743;50178921;1643922-1408110;48.95263326334561, 3.129890753572327;48.95263326334561, 3.129890753572327
;;69003;69003;52561;52561-69003;10804;1224942-52561;50178158;1657640-1224942;48.96575991370982, 2.8765227844290373;48.965894798155645, 2.87652246407625
;;480508;1226151;479669;1204221-1226151;479668;1410917-1204221;50178821;1634305-1410917;48.88392979119273, 2.910288696775054;48.88395669857662, 2.910193198268186
;;68765;1225440;52657;1225439-1225440;11029;1418719-1225439;50178150;1410004-1418719;48.92903611387697, 2.8090803541827514;48.92901808521092, 2.8090531246136634
;;68915;1418708;52717;52717-1418708;11145;1418689-52717;50178145;1410016-1418689;48.95177513456845, 2.9303110213585035;48.95177510281068, 2.9302564061998737
;;69191;69191;52611;52611-69191;484810;1408262-52611;50179713;1643405-1408262;49.00504253925346, 3.1708202343807037;49.005051492299806, 3.1708475994789773
;;68730;68730;52659;52659-68730;11092;1418574-52659;50178108;1657667-1418574;48.921298014597006, 2.970511429692003;48.92141492276801, 2.9705250092712427
;;69078;69078;52399;52399-69078;10488;1418542-52399;50178102;1410128-1418542;48.977583408641166, 3.021597368313029;48.977583408641166, 3.021597368313029
;;69078;69078;52399;52399-69078;10489;1418538-52399;50178103;1410124-1418538;48.97764632199017, 3.0217749821424307;48.9776463663732, 3.021529091515687
;;68977;1225709;48820;1225708-1225709;10798;1418451-1225708;50178075;1657677-1418451;48.960424132513445, 2.8916937054056993;48.96046000316781, 2.8915843819802793
;;69124;1226339;57549;1226338-1226339;19875;1410564-1226338;50178807;1408433-1410564;48.985781834930755, 3.164144148854857;48.98576379460699, 3.1641850801371203
;;69380;69380;52550;52550-69380;10782;1418340-52550;50178039;1410276-1418340;49.07161872343965, 3.0266179754796996;49.07161872343965, 3.0266179754796996
;;69380;69380;52550;52550-69380;10781;1418336-52550;50178040;1410272-1418336;49.071573711623145, 3.0268642882008;49.071573711623145, 3.0268642882008
;;68943;68943;53611;53611-68943;12900;12900-53611;50178747;1408596-12900;48.95504413960237, 3.1290501858841124;48.95506184486018, 3.129309668671085
;;69108;1408775;57618;1408790-1408775;20077;1408839-1408790;50179453;1633842-1408839;48.98076547633821, 3.1989513344730756;48.98095431153203, 3.1989520573129573
;;62777;62777;52792;52792-62777;11274;1403836-52792;50176692;1613042-1403836;48.69344320230192, 2.1488689118343265;48.69346099634047, 2.148841447890338
;;62885;62885;52836;52836-62885;11394;1403671-52836;50176476;1613196-1403671;48.698920916159594, 2.199505510601252;48.698902928182406, 2.1995057860921055
;;62692;62692;48856;48856-62692;5042;1384268-48856;50176694;1613040-1384268;48.68813613737902, 2.1476103277071927;48.68810905825804, 2.1475971835055225
;;62974;833974;47040;47040-833974;11399;1381289-47040;50176016;1613523-1381289;48.703448735595885, 2.19200263784613;48.70342202985905, 2.1920438195796317
;;62860;62860;52834;52834-62860;11391;1381209-52834;50176445;1613222-1381209;48.69773110749732, 2.203165349399744;48.697704034726414, 2.203152174008234
;;63192;1351222;52913;1351218-1351222;11615;1402914-1351218;50176456;1613210-1402914;48.71871726432744, 2.2420082884392833;48.718699276558695, 2.242008549402068
;;62957;62957;52857;52857-62957;11432;1381121-52857;50175948;1613571-1381121;48.70279047260659, 2.1812091905391506;48.70274522311697, 2.181169131056416
;;63078;63078;52910;52910-63078;21869;1402745-52910;50176395;1613255-1402745;48.70937818137218, 2.224815104975272;48.709378093073916, 2.2248015151739375
;;62901;62901;52855;52855-62901;11429;1381088-52855;50175969;1613556-1381088;48.69956496970823, 2.164871808170928;48.69954641103957, 2.164790572744546
;;62973;62973;52852;52852-62973;11423;1381073-52852;50175972;1613553-1381073;48.70345473120545, 2.174485495372165;48.70347262502288, 2.1744716230681114
;;62973;62973;52852;52852-62973;11422;11422-52852;50175963;1613561-11422;48.703526588567534, 2.1744707706747777;48.70349061287138, 2.1744713389371957
;;62711;62711;52806;52806-62711;11344;1380997-52806;50175913;1613597-1380997;48.68974010340839, 2.1814000067906862;48.68972192884206, 2.1813731192301757
;;73767;73767;42399;42399-73767;11292;1401920-42399;50176668;1613058-1401920;48.68946843430191, 2.206416065571599;48.68946843430191, 2.206416065571599
;;62709;62709;52827;52827-62709;11377;1380816-52827;50175989;1613540-1380816;48.68961284031578, 2.178589687103667;48.68959466511394, 2.1785628005856172
;;61029;61029;52816;52816-61029;11363;1401876-52816;50175985;1613542-1401876;48.68113035440882, 2.185120936657437;48.681121267479675, 2.1851074944418443
;;424596;802328;424595;802326-802328;424594;1380755-802326;50175928;1613588-1380755;48.68551836913727, 2.1602599189604557;48.68549110004002, 2.160219601907765
;;61028;61028;42234;42234-61028;2839;1401778-42234;50176659;1613063-1401778;48.68141374219377, 2.199067184074972;48.68138685106047, 2.1990811798810235
