pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50171255:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50171255,IDFM:monomodalStopPlace:46035,1,1,38.87,41,,,,,
IDFM:StopPlaceEntrance:50170492:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50170492,IDFM:monomodalStopPlace:46035,1,1,28.08,29,,,,,
IDFM:StopPlaceEntrance:50170493:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50170493,IDFM:monomodalStopPlace:46035,1,1,27.36,29,,,,,
IDFM:463068:StopPlaceEntrance:50147862,IDFM:463068,IDFM:StopPlaceEntrance:50147862,1,0,83.69,88,,,,,
IDFM:22031:StopPlaceEntrance:50147862,IDFM:22031,IDFM:StopPlaceEntrance:50147862,1,0,84.21,89,,,,,
IDFM:StopPlaceEntrance:50147861:463068,IDFM:StopPlaceEntrance:50147861,IDFM:463068,1,1,54.45,57,,,,,
IDFM:StopPlaceEntrance:50147861:22031,IDFM:StopPlaceEntrance:50147861,IDFM:22031,1,1,58.98,62,,,,,
IDFM:21973:StopPlaceEntrance:50148359,IDFM:21973,IDFM:StopPlaceEntrance:50148359,1,0,4.79,5,,,,,
IDFM:462994:StopPlaceEntrance:50148359,IDFM:462994,IDFM:StopPlaceEntrance:50148359,1,0,18.3,19,,,,,
IDFM:StopPlaceEntrance:50148360:21973,IDFM:StopPlaceEntrance:50148360,IDFM:21973,1,1,45.3,48,,,,,
IDFM:StopPlaceEntrance:50148360:462994,IDFM:StopPlaceEntrance:50148360,IDFM:462994,1,1,49.42,52,,,,,
IDFM:StopPlaceEntrance:50148630:monomodalStopPlace:46007,IDFM:StopPlaceEntrance:50148630,IDFM:monomodalStopPlace:46007,1,1,120.71,128,,,,,
IDFM:StopPlaceEntrance:50148629:monomodalStopPlace:46007,IDFM:StopPlaceEntrance:50148629,IDFM:monomodalStopPlace:46007,1,1,104.39,110,,,,,
IDFM:StopPlaceEntrance:50171213:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50171213,IDFM:monomodalStopPlace:47322,1,1,82.76,87,,,,,
IDFM:StopPlaceEntrance:50171214:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50171214,IDFM:monomodalStopPlace:47322,1,1,146.71,155,,,,,
IDFM:StopPlaceEntrance:50170692:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50170692,IDFM:monomodalStopPlace:47322,1,1,101.89,108,,,,,
