zdc_a,zdb_b,duree_mediane_secondes,nb_observations
72932,72934,374,8
65833,65876,440,8
72586,72597,432,6
73622,73648,445,12
62546,62549,361,2
71033,482706,451,20
72303,72314,467,16
66640,491312,462,6
66267,482863,342,2
69755,426139,496,2
73163,420857,461,24
71558,463703,467,6
62372,62375,478,8
71006,71007,481,6
71610,71614,378,44
67064,69390,493,4
71152,71161,455,48
71313,73635,379,12
64768,483238,340,16
62022,425773,471,8
65170,65178,361,16
71515,71534,355,4
71889,482859,432,82
69138,69143,352,8
71016,427185,460,10
68376,485843,421,6
73671,493489,438,16
71173,73640,463,16
64788,64816,482,4
66746,66769,434,12
70061,73961,389,8
62893,62942,477,4
71223,71264,453,68
62910,74164,477,8
71441,71448,363,8
65770,482420,345,18
69470,69474,442,8
73749,479942,385,16
71882,71889,455,12
60226,60237,302,8
72749,72759,387,12
71576,71589,459,10
61349,61351,375,8
65081,65101,446,8
61948,479392,493,4
71207,71224,450,24
65369,65373,289,8
64286,64287,416,8
420186,483634,488,8
71521,71556,453,50
70257,70310,471,8
64024,64033,376,6
64629,64642,326,4
69610,69618,456,4
71580,71587,457,6
70823,70829,473,36
60524,60541,369,12
69794,69821,446,16
71637,73626,403,36
71781,73648,432,8
69489,69490,352,6
61471,61473,462,6
71772,71773,471,4
62396,62397,389,8
72275,420660,388,14
67838,67851,407,8
62906,420736,422,4
65152,65173,458,8
71845,491705,440,26
414902,417682,467,6
63252,63261,360,8
71184,73640,385,56
69506,73720,376,6
72792,487076,455,4
65342,65377,432,14
73260,416518,409,2
70189,70220,481,2
70898,71471,450,16
71439,71480,496,6
66475,66495,352,8
65505,485861,385,16
73733,490704,396,18
61876,61889,441,2
71572,71573,433,32
65180,65189,419,8
72313,72324,476,10
73288,73289,476,4
60496,60504,448,8
71990,72001,449,8
67839,67877,418,26
68935,68939,386,24
64814,494788,349,4
71277,71777,342,28
71471,71517,482,18
73026,73030,450,12
63463,63479,423,14
70776,70784,475,4
422602,485909,431,2
66009,66038,408,64
68344,68368,328,16
71772,71776,408,6
72278,72283,388,16
65715,415631,351,6
71359,473202,417,84
