ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75018;WC;En service;24 avenue de clichy;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-des-deux-nethes-2765;"{""coordinates"": [2.327515105424676, 48.885658542356424], ""type"": ""Point""}";48.885658542356424, 2.327515105424676;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;WC;En service;11 boulevard d algerie;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-de-la-butte-du-chapeau-rouge-1811;"{""coordinates"": [2.3987808441159437, 48.88101652135978], ""type"": ""Point""}";48.88101652135978, 2.3987808441159437;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75001;Sanisette;En service;39 rue jean-jacques rousseau;24/24h;Oui;Non;;"{""coordinates"": [2.3418320005004327, 48.86316500012886], ""type"": ""Point""}";48.86316500012886, 2.3418320005004327;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75002;Sanisette;En service;91 rue d'aboukir;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3484040005465134, 48.868154999752115], ""type"": ""Point""}";48.868154999752115, 2.3484040005465134;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;170 av ledru-rollin;24/24h;Oui;Non;;"{""coordinates"": [2.3793530002626153, 48.85705699961709], ""type"": ""Point""}";48.85705699961709, 2.3793530002626153;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;1 z pl louis armstrong;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3600550005799796, 48.835833999662924], ""type"": ""Point""}";48.835833999662924, 2.3600550005799796;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;6 bd du montparnasse;24/24h;Oui;Non;;"{""coordinates"": [2.316950999507549, 48.84652499973139], ""type"": ""Point""}";48.84652499973139, 2.316950999507549;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;18 rue leon lhermitte;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2978170002501836, 48.842868999580126], ""type"": ""Point""}";48.842868999580126, 2.2978170002501836;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;26 pl etienne pernet;24/24h;Oui;Non;;"{""coordinates"": [2.292144000168206, 48.84260699987145], ""type"": ""Point""}";48.84260699987145, 2.292144000168206;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;WC;En service;50 avenue gambetta;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-edouard-vaillant-2691;"{""coordinates"": [2.399921131428531, 48.86624979610642], ""type"": ""Point""}";48.86624979610642, 2.399921131428531;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75007;Urinoir;En service;10bv quai d'orsay;10h00 - 22h00;Oui;Non;;"{""coordinates"": [2.309290123883407, 48.862950773927956], ""type"": ""Point""}";48.862950773927956, 2.309290123883407;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;WC;En service;4 place violet;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-violet-2531;"{""coordinates"": [2.2891995674457033, 48.84429229095396], ""type"": ""Point""}";48.84429229095396, 2.2891995674457033;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;30 rue marc seguin;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3615539994578914, 48.89209499970645], ""type"": ""Point""}";48.89209499970645, 2.3615539994578914;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;2 rue saint-bruno;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.356305999707875, 48.885984000259434], ""type"": ""Point""}";48.885984000259434, 2.356305999707875;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;WC;Hors service;23 rue carpeaux;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-carpeaux-2646;"{""coordinates"": [2.3316192813555867, 48.891476402299865], ""type"": ""Point""}";48.891476402299865, 2.3316192813555867;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Urinoir;En service;9 rue piat;24/24h;Non;Non;;"{""coordinates"": [2.385813917618, 48.87142182795628], ""type"": ""Point""}";48.87142182795628, 2.385813917618;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75007;Sanisette;En service;41b qu d'orsay;24/24h;Oui;Non;;"{""coordinates"": [2.310900000016987, 48.862506999594046], ""type"": ""Point""}";48.862506999594046, 2.310900000016987;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;WC;En service;11 boulevard de la bastille;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-du-port-de-l-arsenal-1783;"{""coordinates"": [2.3676189245638684, 48.84888019555787], ""type"": ""Point""}";48.84888019555787, 2.3676189245638684;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;WC;Hors service;2 carrefour de la pyramide;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-floral-de-paris-1;"{""coordinates"": [2.4204189876204447, 48.84310448474707], ""type"": ""Point""}";48.84310448474707, 2.4204189876204447;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;89 av d'italie;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.358158000071719, 48.82392400040274], ""type"": ""Point""}";48.82392400040274, 2.358158000071719;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75009;Sanisette;En service;5 bd de clichy;24/24h;Oui;Non;;"{""coordinates"": [2.339160999797763, 48.882071999650535], ""type"": ""Point""}";48.882071999650535, 2.339160999797763;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;2 pl amedee gordini;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2919599996490962, 48.8309549998389], ""type"": ""Point""}";48.8309549998389, 2.2919599996490962;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;216 rue saint-charles;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2779889994831684, 48.83808899998454], ""type"": ""Point""}";48.83808899998454, 2.2779889994831684;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;WC;En service;41 rue mirabeau;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-sainte-perine-1806;"{""coordinates"": [2.2685112822119478, 48.843817611869724], ""type"": ""Point""}";48.843817611869724, 2.2685112822119478;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;Sanisette;En service;12 w1 bd des batignolles;24/24h;Oui;Non;;"{""coordinates"": [2.3262660000526107, 48.883342999654786], ""type"": ""Point""}";48.883342999654786, 2.3262660000526107;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;7 pl django reinhardt;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3437689999932854, 48.900789000131866], ""type"": ""Point""}";48.900789000131866, 2.3437689999932854;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;5 pl albert kahn;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3459840001934857, 48.895789999814355], ""type"": ""Point""}";48.895789999814355, 2.3459840001934857;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;Sanisette;En service;88t bd de port-royal;24/24h;Oui;Non;;"{""coordinates"": [2.3387829995144718, 48.83920299969486], ""type"": ""Point""}";48.83920299969486, 2.3387829995144718;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;57 bd de la villette;24/24h;Oui;Non;;"{""coordinates"": [2.372206000330588, 48.876193000062784], ""type"": ""Point""}";48.876193000062784, 2.372206000330588;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
