Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Mairie;48.766911,2.279555;48.76691695181822, 2.2794732815620153;12268;12268;50225981;4;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.279555, 48.766911]}";;;Mairie de Châtenay-Malabry;3;yes;yes;yes;yes;no;536;MASSY – JUVISY;Châtenay-Malabry;92019;-
Le Petit Sénart;48.6542554,2.5115884;48.65422110696499, 2.511650006021184;"2828;2827";2827;50180582;02;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5115884, 48.6542554]}";;;Le Petit Sénart;5;yes;;;yes;yes;520;VAL D’YERRES VAL DE SEINE;Tigery;91617;-
Évry Gare Routière;48.6251382,2.4288025;48.62504107096197, 2.4287315242885152;2772;2772;50180632;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.4288025, 48.6251382]}";yes;STIF 2018-05;Gare d'Évry-Courcouronnes Centre;5;no;no;yes;no;no;520;VAL D’YERRES VAL DE SEINE;Evry-Courcouronnes;91228;-
Ferme de l'Étrille;49.037699,2.802233;49.037758622499204, 2.802293637887414;423549;423549;50198165;SP;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.802233, 49.037699]}";;;Ferme de l'Étrille;5;;;;;;506;ROISSY OUEST;Saint-Soupplets;77437;-
Albert Camus;48.9776021,2.3722063;48.977687285677234, 2.37224775987996;423589;423589;50198576;S;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.3722063, 48.9776021]}";;;Les Cholettes;4;yes;;;yes;;110;RATP CAP EXPERTISES;Sarcelles;95585;-
République - Général Leclerc;48.8054785,2.4400887;48.805462198604474, 2.439990156436057;27541;27541;50235122;"217;372";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.4400887, 48.8054785]}";yes;STIF 2019-01;République - Général Leclerc;3;yes;yes;yes;yes;no;546;POMPADOUR;Maisons-Alfort;94046;-
Guibert;48.8451989,2.1319809;48.84516608008632, 2.1320286362952974;425667;425667;50194922;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1319809, 48.8451989]}";;;Guibert;4;;yes;;yes;;528;GRAND VERSAILLES;La Celle-Saint-Cloud;78126;-
Lycée Pierre Corneille;48.8465941,2.1370446;48.84662301260352, 2.1369918753474297;21505;21505;50195163;"426;6202;6227;6230;6231;6246;6283";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1370446, 48.8465941]}";;;Lycée Pierre Corneille;4;no;no;;no;no;528;GRAND VERSAILLES;La Celle-Saint-Cloud;78126;-
Chemin des Vignes;48.863539,2.1528572;48.8634921881327, 2.1529202249432915;34238;34238;50194716;27;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1528572, 48.863539]}";;;Chemin des Vignes;4;;;;;;528;GRAND VERSAILLES;Bougival;78092;-
Division Leclerc;48.9892455,1.7099568;48.989192074093395, 1.7099460188488522;18679;18679;50000048;"K;A";0.01;10;"{""type"": ""Point"", ""coordinates"": [1.7099568, 48.9892455]}";;;Mantes-la-Jolie Division Leclerc;5;no;no;no;no;yes;535;MANTOIS;Mantes-la-Jolie;78361;-
Anjou;48.9659291,1.691375;48.96591449367937, 1.6914415528743525;17836;17836;50000170;;0.01;10;"{""type"": ""Point"", ""coordinates"": [1.691375, 48.9659291]}";;;Anjou;5;;;;;;535;MANTOIS;Magnanville;78354;-
Carrefour de la Croix;48.8828588,2.1368275;48.882812895400114, 2.1368966841250856;32276;32276;50194686;M;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1368275, 48.8828588]}";yes;STIF 2018-05;Carrefour de la Croix;4;;;;;;528;GRAND VERSAILLES;Croissy-sur-Seine;78190;-
Allée de la Gare;48.8889488,2.1259471;48.88891244990131, 2.126007811102572;32272;32272;50194618;M;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1259471, 48.8889488]}";yes;STIF 2018-05;Allée de la Gare;4;no;no;yes;yes;yes;528;GRAND VERSAILLES;Le Vésinet;78650;-
Amélie;48.9790262,2.3007398;48.97912615121814, 2.300726286106232;14268;14268;50166669;SOISYBUS;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.3007398, 48.9790262]}";;;Amélie;4;no;no;yes;no;no;505;VALLEE DE MONTMORENCY;Soisy-sous-Montmorency;95598;-
Les Emples;48.9991257,2.2929987;48.999115496956804, 2.2928995137185995;14315;14315;50166458;10;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.2929987, 48.9991257]}";yes;STIF 2018-05;Les Emplés;4;;;;;;505;VALLEE DE MONTMORENCY;Andilly;95014;-
Alouettes;48.9784321,2.2818151;48.97845753017334, 2.2819235967955125;419401;419401;50166172;10;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.2818151, 48.9784321]}";no;STIF 2018-05;Alouettes;4;no;no;no;no;no;505;VALLEE DE MONTMORENCY;Eaubonne;95203;-
Bergette;48.8975015,2.0807979;48.89751251353098, 2.080672642308953;34743;34743;50174021;"R3-Sud;R6";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0807979, 48.8975015]}";no;STIF 2018-05;Bergette;4;;;;;;532;SAINT GERMAIN BOUCLES DE SEINE;Saint-Germain-en-Laye;78551;-
Gallieni;48.896425,2.0806078;48.89647861186251, 2.080718180247425;32839;32839;50200286;"R3-Sud;R6";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0806078, 48.896425]}";no;STIF 2018-05;Gallieni;4;;;;;;530;CENTRE ET SUD YVELINES;Saint-Germain-en-Laye;78551;-
